,y,D,ite
0,0.0,0,10.0
1,31.0,0,-5.0
2,0.0,0,31.0
3,7.0,1,-5.0
4,17.0,0,4.0
5,24.0,0,7.0
6,2.0,0,-2.0
7,19.0,0,-15.0
8,3.0,0,5.0
9,13.0,0,-8.0
10,0.0,0,0.0
11,0.0,0,0.0
12,8.0,0,-8.0
13,0.0,0,16.0
14,0.0,1,0.0
15,31.0,0,-14.0
16,23.0,0,8.0
17,15.0,0,16.0
18,20.0,0,-20.0
19,24.0,0,7.0
20,30.0,0,-22.0
21,14.0,0,-14.0
22,6.0,0,-6.0
23,0.0,0,0.0
24,0.0,0,24.0
25,0.0,0,19.0
26,0.0,0,2.0
27,24.0,1,-7.0
28,11.0,1,-0.0
29,0.0,0,0.0
30,17.0,0,14.0
31,25.0,0,-14.0
32,2.0,0,-1.0
33,0.0,0,0.0
34,22.0,0,1.0
35,0.0,0,7.0
36,0.0,0,6.0
37,0.0,0,31.0
38,0.0,0,0.0
39,31.0,1,31.0
40,0.0,0,0.0
41,0.0,1,-11.0
42,19.0,0,4.0
43,9.0,1,9.0
44,0.0,0,6.0
45,0.0,0,31.0
46,31.0,1,20.0
47,0.0,0,13.0
48,0.0,1,0.0
49,27.0,0,-2.0
50,31.0,1,10.0
51,1.0,0,5.0
52,30.0,0,-30.0
53,0.0,0,0.0
54,3.0,0,-3.0
55,16.0,0,15.0
56,21.0,1,-1.0
57,10.0,0,21.0
58,31.0,1,6.0
59,0.0,0,3.0
60,21.0,1,-10.0
61,31.0,1,8.0
62,19.0,1,-7.0
63,0.0,1,-20.0
64,0.0,0,15.0
65,31.0,0,0.0
66,0.0,0,31.0
67,12.0,0,-2.0
68,0.0,0,0.0
69,31.0,1,13.0
70,0.0,0,0.0
71,0.0,0,31.0
72,0.0,0,31.0
73,19.0,0,-8.0
74,27.0,0,-27.0
75,0.0,0,0.0
76,7.0,0,22.0
77,0.0,0,0.0
78,15.0,0,-14.0
79,8.0,1,-5.0
80,31.0,1,7.0
81,2.0,0,9.0
82,18.0,1,18.0
83,17.0,0,14.0
84,20.0,0,11.0
85,28.0,1,28.0
86,0.0,0,0.0
87,11.0,1,-6.0
88,24.0,0,-16.0
89,26.0,0,-17.0
90,28.0,1,28.0
91,31.0,0,-11.0
92,30.0,0,-1.0
93,0.0,1,0.0
94,0.0,0,0.0
95,29.0,0,2.0
96,0.0,1,0.0
97,0.0,0,0.0
98,0.0,0,13.0
99,0.0,0,12.0
100,31.0,1,17.0
101,31.0,1,2.0
102,0.0,0,0.0
103,0.0,0,17.0
104,20.0,0,11.0
105,8.0,0,23.0
106,0.0,0,0.0
107,0.0,0,31.0
108,0.0,1,0.0
109,31.0,1,20.0
110,31.0,0,0.0
111,31.0,0,-11.0
112,0.0,0,21.0
113,1.0,0,-1.0
114,0.0,0,0.0
115,25.0,0,-25.0
116,11.0,1,11.0
117,31.0,1,5.0
118,0.0,1,-13.0
119,29.0,0,1.0
120,17.0,0,14.0
121,0.0,0,16.0
122,18.0,1,-9.0
123,0.0,1,-17.0
124,25.0,0,-25.0
125,0.0,0,0.0
126,18.0,0,-10.0
127,13.0,0,-13.0
128,31.0,0,-31.0
129,17.0,1,8.0
130,0.0,0,0.0
131,0.0,0,0.0
132,4.0,1,-10.0
133,29.0,0,-17.0
134,15.0,0,16.0
135,0.0,0,31.0
136,4.0,0,27.0
137,17.0,1,17.0
138,0.0,0,18.0
139,31.0,0,0.0
140,31.0,1,28.0
141,31.0,1,0.0
142,31.0,0,0.0
143,0.0,1,0.0
144,17.0,0,-17.0
145,31.0,1,0.0
146,4.0,0,-3.0
147,0.0,0,0.0
148,9.0,1,-21.0
149,0.0,0,0.0
150,31.0,1,31.0
151,7.0,0,12.0
152,0.0,0,0.0
153,11.0,0,10.0
154,0.0,0,7.0
155,0.0,0,14.0
156,0.0,0,31.0
157,31.0,0,0.0
158,31.0,0,-31.0
159,0.0,1,0.0
160,0.0,0,0.0
161,0.0,0,13.0
162,0.0,0,5.0
163,30.0,0,1.0
164,0.0,1,-4.0
165,11.0,1,11.0
166,0.0,0,0.0
167,31.0,0,0.0
168,0.0,0,0.0
169,28.0,0,-26.0
170,31.0,1,0.0
171,0.0,1,0.0
172,23.0,0,8.0
173,30.0,0,1.0
174,16.0,0,12.0
175,30.0,0,1.0
176,31.0,0,-1.0
177,0.0,0,0.0
178,19.0,0,12.0
179,0.0,0,0.0
180,4.0,0,25.0
181,4.0,0,-4.0
182,23.0,0,-3.0
183,28.0,0,-3.0
184,0.0,1,0.0
185,0.0,0,0.0
186,13.0,1,13.0
187,0.0,0,0.0
188,31.0,0,-31.0
189,16.0,0,-11.0
190,26.0,0,5.0
191,0.0,0,28.0
192,30.0,0,1.0
193,0.0,0,8.0
194,22.0,0,-22.0
195,0.0,0,24.0
196,18.0,0,1.0
197,0.0,0,0.0
198,0.0,0,22.0
199,12.0,0,17.0
200,31.0,1,0.0
201,0.0,0,0.0
202,0.0,0,0.0
203,0.0,0,0.0
204,0.0,0,4.0
205,13.0,0,3.0
206,0.0,0,24.0
207,23.0,1,6.0
208,31.0,0,-9.0
209,31.0,0,0.0
210,0.0,1,-14.0
211,0.0,1,0.0
212,0.0,0,0.0
213,0.0,0,13.0
214,0.0,0,0.0
215,31.0,0,-11.0
216,22.0,0,-22.0
217,31.0,1,6.0
218,0.0,0,0.0
219,0.0,0,0.0
220,0.0,0,0.0
221,21.0,0,-19.0
222,14.0,0,-5.0
223,26.0,0,5.0
224,16.0,0,-10.0
225,26.0,0,-1.0
226,14.0,0,-10.0
227,29.0,0,-5.0
228,31.0,0,0.0
229,0.0,0,13.0
230,31.0,0,-6.0
231,0.0,1,0.0
232,21.0,0,-3.0
233,0.0,0,21.0
234,0.0,0,2.0
235,0.0,0,0.0
236,0.0,0,0.0
237,31.0,1,3.0
238,24.0,0,-24.0
239,4.0,0,-4.0
240,0.0,0,0.0
241,0.0,0,2.0
242,13.0,0,1.0
243,0.0,0,0.0
244,0.0,0,0.0
245,28.0,0,-15.0
246,17.0,0,-17.0
247,27.0,0,0.0
248,24.0,0,-18.0
249,0.0,0,10.0
250,19.0,0,-4.0
251,1.0,0,25.0
252,31.0,0,0.0
253,7.0,0,23.0
254,0.0,0,31.0
255,20.0,1,20.0
256,11.0,0,-4.0
257,0.0,0,31.0
258,31.0,0,-23.0
259,7.0,0,0.0
260,0.0,0,23.0
261,25.0,0,-8.0
262,27.0,0,4.0
263,0.0,0,0.0
264,8.0,1,-11.0
265,0.0,0,11.0
266,1.0,0,20.0
267,29.0,0,2.0
268,0.0,0,0.0
269,31.0,1,0.0
270,31.0,0,0.0
271,16.0,0,12.0
272,23.0,0,-23.0
273,19.0,0,-15.0
274,16.0,0,15.0
275,0.0,0,0.0
276,16.0,0,15.0
277,11.0,0,-10.0
278,4.0,0,24.0
279,28.0,0,-19.0
280,0.0,0,3.0
281,25.0,0,-25.0
282,31.0,0,-0.0
283,0.0,0,27.0
284,4.0,0,-4.0
285,17.0,0,14.0
286,24.0,0,-13.0
287,21.0,0,-0.0
288,0.0,0,0.0
289,0.0,0,26.0
290,0.0,0,0.0
291,13.0,0,-13.0
292,2.0,0,-2.0
293,0.0,0,0.0
294,17.0,0,14.0
295,16.0,0,-13.0
296,0.0,0,24.0
297,19.0,0,-6.0
298,31.0,1,2.0
299,0.0,0,0.0
300,31.0,1,9.0
301,31.0,1,27.0
302,10.0,0,17.0
303,30.0,0,1.0
304,0.0,0,0.0
305,0.0,0,26.0
306,0.0,0,31.0
307,23.0,0,-23.0
308,9.0,0,-9.0
309,0.0,0,31.0
310,29.0,0,2.0
311,20.0,1,5.0
312,15.0,0,15.0
313,0.0,0,27.0
314,1.0,0,21.0
315,19.0,0,-2.0
316,15.0,0,16.0
317,7.0,0,-0.0
318,0.0,0,0.0
319,7.0,0,-7.0
320,25.0,0,-4.0
321,1.0,1,-11.0
322,12.0,0,-5.0
323,0.0,0,9.0
324,0.0,1,-31.0
325,0.0,1,-15.0
326,22.0,0,9.0
327,0.0,0,17.0
328,14.0,0,-14.0
329,13.0,0,-13.0
330,6.0,0,25.0
331,17.0,0,-8.0
332,15.0,0,-12.0
333,0.0,0,31.0
334,14.0,0,-8.0
335,24.0,0,7.0
336,3.0,0,1.0
337,15.0,0,2.0
338,12.0,0,-12.0
339,5.0,0,-5.0
340,31.0,0,0.0
341,3.0,0,-3.0
342,27.0,0,4.0
343,0.0,0,0.0
344,14.0,0,-6.0
345,0.0,0,0.0
346,0.0,1,-24.0
347,28.0,0,3.0
348,0.0,0,0.0
349,0.0,0,29.0
350,9.0,0,-9.0
351,0.0,0,23.0
352,10.0,0,21.0
353,21.0,0,7.0
354,0.0,0,0.0
355,31.0,0,0.0
356,0.0,0,4.0
357,0.0,0,0.0
358,0.0,0,0.0
359,0.0,0,0.0
360,0.0,0,13.0
361,0.0,0,0.0
362,26.0,0,-23.0
363,26.0,0,5.0
364,17.0,0,1.0
365,11.0,0,20.0
366,4.0,0,-4.0
367,0.0,0,0.0
368,11.0,0,-11.0
369,0.0,0,9.0
370,26.0,0,-17.0
371,21.0,0,-21.0
372,0.0,0,31.0
373,28.0,0,-28.0
374,31.0,1,9.0
375,31.0,1,4.0
376,31.0,0,-25.0
377,31.0,1,3.0
378,7.0,0,-4.0
379,0.0,1,0.0
380,24.0,0,4.0
381,3.0,0,28.0
382,28.0,0,3.0
383,6.0,0,22.0
384,0.0,0,31.0
385,7.0,0,5.0
386,24.0,0,7.0
387,12.0,0,-5.0
388,0.0,0,0.0
389,0.0,0,0.0
390,0.0,0,31.0
391,0.0,0,0.0
392,5.0,0,26.0
393,30.0,0,1.0
394,22.0,0,-21.0
395,31.0,1,1.0
396,0.0,0,31.0
397,0.0,0,0.0
398,23.0,0,8.0
399,27.0,1,27.0
400,24.0,0,-24.0
401,16.0,1,16.0
402,18.0,0,13.0
403,31.0,0,-9.0
404,24.0,1,20.0
405,27.0,0,-8.0
406,16.0,0,-12.0
407,0.0,0,0.0
408,31.0,0,0.0
409,31.0,0,-7.0
410,0.0,1,0.0
411,0.0,0,0.0
412,0.0,0,0.0
413,0.0,1,-19.0
414,0.0,0,18.0
415,0.0,0,0.0
416,0.0,0,31.0
417,0.0,0,12.0
418,7.0,0,7.0
419,25.0,0,-25.0
420,0.0,0,31.0
421,0.0,0,0.0
422,31.0,1,3.0
423,31.0,0,0.0
424,31.0,0,-5.0
425,0.0,0,0.0
426,23.0,1,1.0
427,0.0,0,24.0
428,25.0,0,6.0
429,2.0,0,17.0
430,13.0,0,-13.0
431,8.0,0,-8.0
432,25.0,0,6.0
433,0.0,0,0.0
434,17.0,1,-3.0
435,4.0,0,27.0
436,3.0,0,-3.0
437,0.0,0,30.0
438,13.0,0,-13.0
439,18.0,0,-9.0
440,0.0,0,0.0
441,0.0,0,0.0
442,7.0,0,-2.0
443,31.0,0,0.0
444,15.0,0,16.0
445,18.0,1,18.0
446,14.0,0,-14.0
447,6.0,0,-3.0
448,27.0,0,4.0
449,0.0,0,20.0
450,0.0,0,31.0
451,0.0,0,0.0
452,0.0,0,31.0
453,12.0,0,-7.0
454,7.0,0,-4.0
455,27.0,0,-27.0
456,0.0,0,0.0
457,13.0,0,-5.0
458,0.0,0,0.0
459,31.0,0,-3.0
460,19.0,0,5.0
461,14.0,0,-9.0
462,16.0,0,15.0
463,0.0,1,0.0
464,25.0,0,6.0
465,31.0,0,-2.0
466,31.0,0,0.0
467,29.0,0,-29.0
